,Company_Name,Job_Title,Location,Easy_Apply,Rating,URL,Summary
10,HP,Software Engineering Intern - Data Science AI/ML,"Fort Collins, CO",Not Easy Apply,4.0,indeed.com/rc/clk?jk=e3a2a36f78fc9b3c&fccid=1b866506aec22461&vjs=3," Bachelor’s Degree Candidate with a focus on computer engineering, computer science, or related technical field. Document and test new software applications."
11,Comcast,CCIP Intern- Data Scientist Anly Intern,"Centennial, CO",Not Easy Apply,3.7,indeed.com/rc/clk?jk=9253a06ae7188b72&fccid=ea25315ee9da22e5&vjs=3," Constructing forecasts, recommendations and strategic/tactical plans based on applying data science techniques to business data."
12,Deloitte,Data Scientist,"Denver, CO",Not Easy Apply,4.0,indeed.com/rc/clk?jk=1f37f96bae2be3f8&fccid=9e215d88a6b33622&vjs=3, The data scientist will also need to integrate data from disparate sources into an efficient and intuitive rational database structure.
13,Aegon,"Internship - Data Scientist, Denver CO (Summer 2020)","Denver, CO",Not Easy Apply,3.9,indeed.com/rc/clk?jk=6a450dd5e68fe8de&fccid=817dbf75ac000d11&vjs=3," Pursuing a Masters or PHD in computer science, machine learning, data science, mathematics, statistics, or a related quantitative field."
14,Ball Aerospace,Data Scientist I (668421),"Boulder, CO",Not Easy Apply,3.8,indeed.com/rc/clk?jk=3d41f307c9ab7077&fccid=82c5e27e77990fa2&vjs=3," Demonstrated capability of (end to end data project) generating or understanding a hypothesis, evaluating data needs and expectations; manipulating data to…"
15,Vail Resorts,Senior Manager of Data Science,"Broomfield, CO",Not Easy Apply,4.0,indeed.com/rc/clk?jk=6ec71fa11f10217e&fccid=af95ff2f9c48b702&vjs=3, Vail Resorts is looking to hire a Senior Manager of Data Science to join our Data Science team. This role will report directly into the Director of Data Science…
16,HP,Head of PS Artificial Intelligence & Data Science.,"Fort Collins, CO",Not Easy Apply,4.0,indeed.com/rc/clk?jk=cffb7d38ddfa2ad8&fccid=1b866506aec22461&vjs=3," Computer Science, Math, and/or Software Engineering background. The HP Personal Systems group is looking for an executive to drive our Artificial Intelligence…"
17,The18,Data Scientist,"Boulder, CO",Easy Apply,,indeed.com/company/The18.com/jobs/Data-Scientist-8ae73b7aa48c0053?fccid=02f2360fcd30b0f9&vjs=3, Participate in the implementation of a data management platform to organize and act on our cross-platform data. Experience with social data or media is a plus.
18,Panasonic Corporation of North America,Data Engineer Intern (Summer 2020),"Denver, CO",Not Easy Apply,3.8,indeed.com/rc/clk?jk=39545fe18d89e2d8&fccid=1cd1990427c0d7e2&vjs=3, Work with Data Science and Deployment on new analytics data sources. Experience with data integration and data movement. What You’ll Get to Do:
19,"Alteryx, Inc.",Data Science Journalist,"Broomfield, CO",Not Easy Apply,4.1,indeed.com/rc/clk?jk=0064ab4a579fac96&fccid=dd3b0a1fc99fe359&vjs=3, Some practical data science experience. Analyzing open source data to create practical examples that demonstrate data science techniques and concepts.
20,Viola AI,Data Scientist,"Boulder, CO",Not Easy Apply,,indeed.com/rc/clk?jk=04d61fa5645ef652&fccid=b1b72af5cf602cb5&vjs=3," Viola AI is looking for experts in data science and machine learning. Python, R, and bash scripting is sufficient but we like to see skills in leveraging…"
21,T. Rowe Price,Data Analyst,"Colorado Springs, CO",Not Easy Apply,3.8,indeed.com/rc/clk?jk=88cead6ae7f9d15d&fccid=65c89b6d6455eedf&vjs=3," College degree and 3+ years of experience in Data Science, Operations Management, Statistics, Computer Science, Information Systems or related degrees and…"
22,BPMLinks,Data Scientist,"Denver, CO",Not Easy Apply,,indeed.com/rc/clk?jk=c892b1857ee7eb73&fccid=4f051ec7153ae173&vjs=3," Experience with common data science toolkits, such as R, MatLab, etc; Verify integrity of data used for analysis; Create automated anomaly detection systems."
